fold;auc;n_train;n_val;time_sec
1;0.6055194805194806;397;100;1274.2313694953918
2;0.5942234848484849;399;98;1288.0992710590363
3;0.6789638932496075;422;75;1322.6875259876251
4;0.5798319327731093;407;90;1300.0971188545227
5;0.6041176470588235;363;134;1209.0149929523468
MEAN;0.6125312876899012;-;-;6394.134045600891
POOLED;0.5994603345925527;-;497;-
CI_LOWER;0.5455415793874699;-;-;-
CI_UPPER;0.6513399315263622;-;-;-
GLCM_BASELINE;0.676;-;-;-
