model;dz_ant_apex;dz_post_apex;dz_ant_mid;dz_post_mid;dz_ant_peri;dz_post_peri;coupling_apex;coupling_mid;coupling_periph
model_baseline;58.067633723099995;62.92632701879997;43.274706480361694;45.784773558722904;20.03430530214345;19.55595044830094;0.9227875910467748;0.9451768157127208;1.0244608338064218
model_oval;75.17472236309999;78.47760604519999;33.5987235896813;35.47343845234252;17.936928608754734;17.650872065959167;0.957913042349971;0.9471515887815656;1.0162063688256653
model_triangular;75.6485898473;78.99536790560002;33.56310988601857;36.05311114465093;17.954970073186473;17.68668002205076;0.9576332366437049;0.9309351903462071;1.0151690453381428
param_D5_d60_t150;76.03865044860001;79.3303641725;34.14121856213592;36.21877021693898;18.125881818228162;17.865589469250764;0.9585062572416493;0.9426388129039396;1.0145694800289349
param_D5_d60_t200;75.66643705620001;78.91476402289999;33.67956197857846;35.745663871909805;18.249744259763332;17.877990944424216;0.9588375254374788;0.9421999294589978;1.0207939089182199
param_D5_d60_t250;75.7620742538;78.92044467549997;34.083495668993265;35.19102106125294;18.317562803745744;17.972739008481177;0.959980326584748;0.9685281825062159;1.0191859346036156
param_D5_d60_t300;75.617314001;78.72059110410001;33.675818133230564;34.66535210820765;18.363878547362987;18.097096936957158;0.960578584845784;0.9714546682841051;1.0147416799133688
param_D5_d70_t150;75.4990488774;78.80263038379998;33.47866270471555;36.34553816358688;17.94177629798166;17.74120768529408;0.9580777762073394;0.9211216670952055;1.011305240107968
param_D5_d70_t200;75.6485898473;78.99536790560002;33.56310988601857;36.05311114465093;17.954970073186473;17.68668002205076;0.9576332366437049;0.9309351903462071;1.0151690453381428
param_D5_d70_t250;75.6494525349;78.92738365430002;33.94541248939048;35.48634831561104;18.002406545940097;17.70618038671934;0.9584690259877703;0.9565766583668832;1.016730099476618
param_D5_d70_t300;75.4679148559;78.66939283929997;32.892545675237585;34.990534289717324;18.074574526760312;17.85409303558638;0.9593046562601582;0.9400412523824686;1.0123490726039386
param_D5_d80_t150;76.0940725958;79.46016190110001;33.56349275265619;36.966025901906676;17.67997710018698;17.559629257425602;0.957638026090488;0.9079551272760703;1.0068536664981402
param_D5_d80_t200;76.1393846148;79.43093033979997;34.654299507836164;36.520604086988314;17.71904652253342;17.52510021336473;0.9585609068039492;0.9488972149883718;1.0110667731885943
param_D5_d80_t250;75.9905877698;79.21548707330001;34.640750114133034;36.07353837647664;17.70354538112695;17.51181894355347;0.9592895351319884;0.9602814604048401;1.01094840223003
param_D5_d80_t300;76.0243456993;79.18526697380001;33.542192699815956;35.5627924735814;17.715174985963202;17.52692506422182;0.960081952169892;0.9431821959631966;1.010740613145295
param_D6_d60_t150;76.1038706197;79.9315463354;35.32487478334762;34.777123067697424;17.397887669303724;17.173991167563464;0.9521130781126299;1.0157503458403943;1.0130369521886755
param_D6_d60_t200;75.954007147;79.75885176870001;35.336326889238215;34.591332991102284;17.46794000078178;17.16981572546894;0.9522956444667229;1.0215370103929662;1.0173632775144241
param_D6_d60_t250;75.9334669638;79.6972210695;34.63671370826105;34.379032023155176;17.45594121366323;17.148179782304318;0.9527743369819907;1.0074953153111559;1.0179471777918085
param_D6_d60_t300;75.83645302939999;79.56663326730002;33.85395380570711;33.84180457372366;17.453809884528937;17.15724658326745;0.9531187875529599;1.0003590007133627;1.0172850171396797
param_D6_d70_t150;75.99398534720001;79.86143681519997;35.532622192071315;34.92282751197584;17.23021145607806;17.087978337053666;0.9515729791219599;1.0174612058512835;1.008323577910675
param_D6_d70_t200;75.9538685005;79.80226635359999;34.65799848192652;34.69258953037402;17.255746764721856;17.049437296957628;0.951775832580394;0.9990029268810502;1.0121006613984291
param_D6_d70_t250;75.93667206309999;79.74230605319998;34.87393628195401;34.529048003690164;17.24232731856823;17.044832778665644;0.9522758473079388;1.0099883517850532;1.0115867689913498
param_D6_d70_t300;75.7411209384;79.49678581340002;34.38187554097172;34.07799572638825;17.279631178001907;17.070939409339125;0.9527570223553998;1.0089171856532675;1.0122249727246184
param_baseline;58.067633723099995;62.92632701879997;43.274706480361694;45.784773558722904;20.03430530214345;19.55595044830094;0.9227875910467748;0.9451768157127208;1.0244608338064218
